episod,outcome,reward_total,time_s,kills,damage_taken,buff_count,boss_reached,boss_hp_min,level,hp_remaining,gems,camera_maxima,scene_path
155,fail,-671.6,171.6,7,6,0,0,-1,3,0,3,A1 Goblini,res://Levels/Area01/01.tscn
156,fail,-536.3,36.3,0,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
157,fail,-574.1,74.1,4,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
158,fail,-524.6,24.6,1,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
159,fail,-573.2,73.2,0,6,0,0,-1,3,0,0,A1 Goblini,res://Levels/Area01/01.tscn
160,fail,-563.1,63.1,6,6,0,0,-1,4,0,4,A1 Goblini,res://Levels/Area01/01.tscn
161,fail,-551.4,51.4,7,6,0,0,-1,4,0,4,A1 Goblini,res://Levels/Area01/01.tscn
162,fail,-524.3,24.3,0,6,0,0,-1,4,0,0,A1 Goblini,res://Levels/Area01/01.tscn
163,fail,-552.3,52.3,6,6,0,0,-1,4,0,0,A1 Goblini,res://Levels/Area01/01.tscn
164,fail,-544.9,44.9,6,6,0,0,-1,4,0,0,A1 Goblini,res://Levels/Area01/01.tscn
165,fail,-538.5,38.5,0,6,0,0,-1,4,0,0,A1 Goblini,res://Levels/Area01/01.tscn
166,fail,-562.6,62.6,9,6,0,0,-1,4,0,0,A1 Goblini,res://Levels/Area01/01.tscn
167,fail,-566.4,66.4,7,6,0,0,-1,4,0,4,A1 Goblini,res://Levels/Area01/01.tscn
168,fail,-500.0,0.0,9,6,0,0,-1,4,0,13,D1 Cheie,res://Levels/Dungeon01/03.tscn
169,fail,-500.0,0.0,10,6,0,0,-1,5,0,19,D1 Cheie,res://Levels/Dungeon01/03.tscn
170,fail,-500.0,0.0,3,6,0,0,-1,4,0,0,D1 Cheie,res://Levels/Dungeon01/03.tscn
171,fail,-500.0,0.0,2,6,0,0,-1,4,0,3,D1 Cheie,res://Levels/Dungeon01/03.tscn
